distance_bins,distance_kb,number_of_pairs,baseline_mse,model_mse,improvement
1,100,336,1.1475073099136353,1.0669278293279354,7.022132224304915
2,200,335,1.1546486616134644,1.1206399284307402,2.9453750143529853
3,300,334,1.1766492128372192,1.1145844213426206,5.2747064135575
4,400,333,1.2135661840438843,1.099807729923158,9.373897824151362
5,500,332,1.2991814613342285,1.144513945478362,11.904997143126312
6,600,331,1.172249674797058,0.9294168584162129,20.715110577691977
7,700,330,1.1457446813583374,0.8388602836789989,26.784710649104802
8,800,329,1.1834583282470703,0.8336201714009344,29.560665424046967
9,900,328,1.207858920097351,0.7834946697170619,35.13359410766997
10,1000,327,1.1734495162963867,0.7373069733356742,37.167559141125665
11,1100,326,1.2186561822891235,0.7581671014054763,37.78662822016499
12,1200,325,1.2864738702774048,0.8033895405973043,37.55104093765481
13,1300,324,1.2969006299972534,0.8114044202510692,37.435112491788395
14,1400,323,1.2193694114685059,0.7398251190792158,39.32723651085911
15,1500,322,1.2613846063613892,0.7682868245656062,39.091786859376775
