contact_quantile,pairs,mean_observed,mean_predicted,mean_residual,MAE
0,494,3.284987,4.320963206251498,-1.0359761417432076,1.0728090288111514
1,493,4.3306003,4.577376218025377,-0.24677616719008727,0.4298272339967531
2,494,4.7797017,4.855036900808144,-0.07533524994153123,0.40301320072637364
3,493,5.1076145,5.082084753661702,0.025529575910437564,0.38451762806774253
4,494,5.4176674,5.344054218662002,0.0736130524926101,0.3916602006999232
5,493,5.7286873,5.50378393042554,0.22490337626293533,0.4144785880702491
6,493,6.018247,5.8414365261107655,0.17681041668406539,0.3472226337455723
7,494,6.354726,6.127743169959049,0.22698272276814227,0.3845299013003458
8,493,6.8164372,6.625990629062475,0.19044683007461152,0.3472558699929074
9,494,7.8048983,7.629471463442636,0.17542643081821882,0.2872615275785727
