distance_kb,pairs,baseline_MSE,model_MSE,MSE_improvement_percent
100,336,0.40618025434666294,0.38918425292429587,4.184349495202561
200,335,0.45500800202737723,0.4582088750195945,-0.7034761977712826
300,334,0.4967752621847165,0.4921950668088528,0.9219853975258291
400,333,0.5727276263272493,0.5021761300405204,12.31850761925995
500,332,0.9385997228303138,0.8608566709802763,8.282876071559675
600,331,0.6056403656612173,0.42993961837281874,29.010739252258144
700,330,0.724985198364577,0.5217716535381985,28.030026721205886
800,329,0.9236944048905767,0.6662899564581296,27.86684070722935
900,328,0.9011608931381369,0.572471535441644,36.47399262432362
1000,327,0.6997078231485317,0.3660206594873938,47.689500191611245
1100,326,0.8764866912499515,0.5207285817379321,40.58910569476819
1200,325,1.0095159786070869,0.6176199175650575,38.82019396887218
1300,324,1.0238867027693388,0.6366460282448698,37.82065666807537
1400,323,0.8609993514610459,0.4811297899275271,44.11961064650177
1500,322,0.9409371694599235,0.5200325989347444,44.732484185609195
